,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-16 02:26:00,2025-06-16 05:18:00,4,taxi,5,walk,5
1,2025-06-16 02:26:00,2025-06-16 05:23:00,3,taxi,5,walk,5
2,2025-06-16 02:29:00,2025-06-16 06:13:00,3,walk,9,walk,5
3,2025-06-16 03:19:00,2025-06-16 06:13:00,3,taxi,5,walk,5
4,2025-06-16 04:14:00,2025-06-16 07:18:00,4,walk,9,walk,5
5,2025-06-16 04:14:00,2025-06-16 07:23:00,3,walk,9,walk,5
6,2025-06-16 04:29:00,2025-06-16 08:13:00,4,walk,9,walk,5
7,2025-06-16 04:29:00,2025-06-16 08:23:00,3,walk,9,walk,5
8,2025-06-16 05:15:00,2025-06-16 08:18:00,5,walk,9,walk,5
9,2025-06-16 05:15:00,2025-06-16 08:23:00,4,walk,9,walk,5
10,2025-06-16 05:19:00,2025-06-16 09:13:00,3,walk,10,walk,5
11,2025-06-16 06:14:00,2025-06-16 09:18:00,4,walk,9,walk,5
12,2025-06-16 06:14:00,2025-06-16 09:23:00,3,walk,9,walk,5
13,2025-06-16 06:29:00,2025-06-16 10:13:00,4,walk,9,walk,5
14,2025-06-16 06:29:00,2025-06-16 10:23:00,3,walk,9,walk,5
15,2025-06-16 07:19:00,2025-06-16 10:13:00,4,taxi,5,walk,5
16,2025-06-16 07:21:00,2025-06-16 10:18:00,4,taxi,5,walk,5
17,2025-06-16 07:21:00,2025-06-16 10:23:00,3,taxi,5,walk,5
18,2025-06-16 07:26:00,2025-06-16 10:23:00,4,taxi,5,walk,5
19,2025-06-16 08:14:00,2025-06-16 11:18:00,4,walk,9,walk,5
20,2025-06-16 08:14:00,2025-06-16 11:23:00,3,walk,9,walk,5
21,2025-06-16 08:29:00,2025-06-16 12:13:00,4,walk,9,walk,5
22,2025-06-16 09:26:00,2025-06-16 12:18:00,4,walk,9,walk,5
23,2025-06-16 09:26:00,2025-06-16 12:23:00,3,walk,9,walk,5
24,2025-06-16 10:26:00,2025-06-16 13:18:00,3,walk,9,walk,5
25,2025-06-16 10:26:00,2025-06-16 13:23:00,2,walk,9,walk,5
26,2025-06-16 10:28:00,2025-06-16 14:13:00,4,walk,10,walk,5
27,2025-06-16 11:26:00,2025-06-16 14:18:00,4,walk,9,walk,5
28,2025-06-16 11:26:00,2025-06-16 14:23:00,3,walk,9,walk,5
29,2025-06-16 11:34:00,2025-06-16 15:13:00,3,walk,9,walk,5
30,2025-06-16 12:26:00,2025-06-16 15:18:00,3,walk,9,walk,5
31,2025-06-16 12:26:00,2025-06-16 15:23:00,2,walk,9,walk,5
32,2025-06-16 12:33:00,2025-06-16 16:13:00,4,walk,10,walk,5
33,2025-06-16 13:26:00,2025-06-16 16:18:00,4,walk,9,walk,5
34,2025-06-16 13:26:00,2025-06-16 16:23:00,3,walk,9,walk,5
35,2025-06-16 13:26:00,2025-06-16 17:18:00,2,walk,9,walk,5
36,2025-06-16 13:28:00,2025-06-16 17:12:00,3,walk,10,walk,5
37,2025-06-16 14:14:00,2025-06-16 17:18:00,3,walk,9,walk,5
38,2025-06-16 14:29:00,2025-06-16 18:16:00,4,walk,9,walk,5
39,2025-06-16 14:29:00,2025-06-16 18:18:00,3,walk,9,walk,5
40,2025-06-16 15:14:00,2025-06-16 18:16:00,5,walk,9,walk,5
41,2025-06-16 15:14:00,2025-06-16 18:18:00,4,walk,9,walk,5
42,2025-06-16 15:29:00,2025-06-16 19:16:00,3,walk,9,walk,5
43,2025-06-16 16:14:00,2025-06-16 19:16:00,4,walk,9,walk,5
44,2025-06-16 16:14:00,2025-06-16 19:18:00,3,walk,9,walk,5
45,2025-06-16 16:30:00,2025-06-16 20:16:00,5,walk,10,walk,5
46,2025-06-16 16:30:00,2025-06-16 20:18:00,4,walk,10,walk,5
47,2025-06-16 16:30:00,2025-06-16 21:10:00,3,walk,10,walk,5
48,2025-06-16 17:21:00,2025-06-16 20:18:00,4,taxi,5,walk,5
49,2025-06-16 18:19:00,2025-06-16 21:10:00,3,taxi,5,walk,5
50,2025-06-16 19:19:00,2025-06-16 22:11:00,3,taxi,5,walk,5
51,2025-06-16 20:19:00,2025-06-16 23:44:00,3,taxi,5,walk,8
